landsat_date,landsat_satellite,outlier,era5_files,modis_files,viirs_files
2024-12-08,9,no,ERA5L_2024_12_08_Madurai.tif,MODIS_2024_12_08_Madurai.tif,viirs_raw_2024_12_08_4band.tif
2024-12-16,8,no,ERA5L_2024_12_16_Madurai.tif,MODIS_2024_12_16_Madurai.tif,viirs_raw_2024_12_16_4band.tif
2024-12-24,9,no,ERA5L_2024_12_24_Madurai.tif,MODIS_2024_12_24_Madurai.tif,viirs_raw_2024_12_24_4band.tif
2025-01-01,8,no,ERA5L_2025_01_01_Madurai.tif,MODIS_2025_01_01_Madurai.tif,viirs_raw_2025_01_01_4band.tif
2025-01-09,9,no,ERA5L_2025_01_09_Madurai.tif,MODIS_2025_01_09_Madurai.tif,viirs_raw_2025_01_09_4band.tif
2025-01-17,8,no,ERA5L_2025_01_17_Madurai.tif,MODIS_2025_01_17_Madurai.tif,viirs_raw_2025_01_17_4band.tif
2025-01-25,9,no,ERA5L_2025_01_25_Madurai.tif,,viirs_raw_2025_01_25_4band.tif
2025-02-02,8,no,ERA5L_2025_02_02_Madurai.tif,,viirs_raw_2025_02_02_4band.tif
2025-02-10,9,no,ERA5L_2025_02_10_Madurai.tif,MODIS_2025_02_10_Madurai.tif,viirs_raw_2025_02_10_4band.tif
2025-02-18,8,no,ERA5L_2025_02_18_Madurai.tif,MODIS_2025_02_18_Madurai.tif,viirs_raw_2025_02_18_4band.tif
2025-02-26,9,no,ERA5L_2025_02_26_Madurai.tif,,viirs_raw_2025_02_26_4band.tif
2025-03-06,8,no,ERA5L_2025_03_06_Madurai.tif,,viirs_raw_2025_03_06_4band.tif
2025-03-14,9,no,ERA5L_2025_03_14_Madurai.tif,MODIS_2025_03_14_Madurai.tif,viirs_raw_2025_03_14_4band.tif
2025-03-22,8,no,ERA5L_2025_03_22_Madurai.tif,MODIS_2025_03_22_Madurai.tif,viirs_raw_2025_03_22_4band.tif
2025-03-30,9,no,ERA5L_2025_03_30_Madurai.tif,MODIS_2025_03_30_Madurai.tif,viirs_raw_2025_03_30_4band.tif
2025-04-07,8,no,ERA5L_2025_04_07_Madurai.tif,,viirs_raw_2025_04_07_4band.tif
