region_id,area_pixels,area_ha,hotspot_frequency_mean,mean_excess_heat_c,hotspot_score_mean,mean_night_cooling_c,cooling_deficit_c,centroid_y,centroid_x,centroid_row,centroid_col,centroid_easting_m,centroid_northing_m,centroid_lon,centroid_lat,min_row,max_row,min_col,max_col,bbox_min_lon,bbox_max_lon,bbox_min_lat,bbox_max_lat,display_name,place_name,road,neighbourhood,suburb,city_district,village,town,city,county,state_district,state,postcode,country,country_code,osm_building_count,osm_building_footprint_area_m2,osm_building_density_fraction,osm_building_density_percent,osm_building_count_per_ha
13,79,7.109999999999999,0.39675480127334595,4.278982162475586,1.706522822380066,6.285276889801025,0.7201696038246155,372.253164556962,1108.379746835443,372.253164556962,1108.379746835443,202931.3924050633,1130362.405063291,78.28856743879047,10.214379698442174,367,378,1103,1113,78.28694547306878,78.28998272075864,10.212673245841682,10.215950620592935,"Natham, Dindigul, Tamil Nadu, 625105, India",Natham,,,,,,,,Natham,Dindigul,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
14,149,13.41,0.36353036761283875,4.055263519287109,1.4782823324203491,7.2189040184021,8.128953777486458e-05,378.77852348993287,1074.510067114094,378.77852348993287,1074.510067114094,201915.30201342283,1130166.644295302,78.27931554852982,10.212533931905744,371,389,1067,1082,78.27710487054634,78.28152631243364,10.209609839856716,10.214795868584828,"Dindigul - Natham - Singampunari - Tiruppattur - Karaikudi Road, Natham, Dindigul, Tamil Nadu, 624400, India",Natham,Dindigul - Natham - Singampunari - Tiruppattur - Karaikudi Road,,,,,Natham,,Natham,Dindigul,Tamil Nadu,624400,India,in,0,0.0,0.0,0.0,0.0
15,76,6.84,0.38904693722724915,4.865744113922119,1.8904454708099365,5.983043670654297,0.9664998054504395,394.5921052631579,1163.5131578947369,394.5921052631579,1163.5131578947369,204585.3947368421,1129692.2368421052,78.30370343719025,10.208450288401444,389,403,1154,1169,78.30094986208394,78.30536179645856,10.206013310322811,10.210114982340075,"Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road, Natham, Dindigul, Tamil Nadu, 625105, India",Natham,Melur - Samuthirapatti - Kottaiyur - Aravakurichi Road,,,,,,,Natham,Dindigul,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
16,231,20.79,0.4410904347896576,4.6236419677734375,2.0381858348846436,5.80800199508667,1.141541838645935,406.42857142857144,1188.4329004329004,406.42857142857144,1188.4329004329004,205332.98701298703,1129337.142857143,78.31054858263641,10.205298516670508,398,413,1176,1202,78.30698973479008,78.31441348064946,10.203352738257593,10.207750171924278,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
17,34,3.06,0.3707699477672577,4.03137731552124,1.4918830394744873,5.93582010269165,1.0137221813201904,417.79411764705884,1176.8529411764705,417.79411764705884,1176.8529411764705,204985.5882352941,1128996.1764705882,78.30740617211524,10.202191948192489,415,421,1173,1182,78.3062076943019,78.30895965238258,10.2011777049048,10.203097507880614,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
18,27,2.4299999999999997,0.33033034205436707,3.1239254474639893,1.033722162246704,2.7086141109466553,4.240929126739502,421.74074074074076,1371.2592592592594,421.74074074074076,1371.2592592592594,210817.77777777778,1128877.7777777778,78.36060586243705,10.2015568296006,420,424,1367,1374,78.35929866474407,78.36149872983577,10.200798414162161,10.202171340490048,"Kottampatti, Melur, Madurai, Tamil Nadu, 625103, India",Kottampatti,,,,,Kottampatti,,,Melur,Madurai,Tamil Nadu,625103,India,in,0,0.0,0.0,0.0,0.0
19,48,4.32,0.42816925048828125,4.450891971588135,1.923527717590332,5.9548821449279785,0.9946610331535339,425.1875,1223.0208333333333,425.1875,1223.0208333333333,206370.625,1128774.375,78.32005457056484,10.2002920707793,421,429,1219,1226,78.31880702642042,78.32101625374932,10.199113072853391,10.201570364989406,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
20,1775,159.75,0.46073630452156067,5.443105220794678,2.507168769836426,6.3080949783325195,0.6416048407554626,466.3667605633803,1221.620281690141,466.3667605633803,1221.620281690141,206328.60845070423,1127538.9971830987,78.31976473031095,10.18912788967259,441,497,1164,1279,78.30380460837964,78.33567036749996,10.180558949367049,10.19626831658807,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
21,84,7.56,0.33259791135787964,3.0344080924987793,1.0101840496063232,2.982379198074341,3.967163562774658,450.75,1498.5714285714287,450.75,1498.5714285714287,214637.14285714287,1128007.5,78.39550442010264,10.193973702225426,446,454,1493,1506,78.39383162592992,78.39768203634509,10.192944005568394,10.195414021748519,"Melur, Madurai, Tamil Nadu, 630502, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,630502,India,in,0,0.0,0.0,0.0,0.0
22,40,3.5999999999999996,0.33079153299331665,3.4158401489257812,1.1317164897918701,3.284960985183716,3.6645820140838623,450.85,1288.0,450.85,1288.0,208320.0,1128004.5,78.33789091632644,10.193482030281062,447,455,1285,1291,78.33692351930422,78.33885898098247,10.192213890686018,10.194668857067274,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
23,129,11.61,0.42198678851127625,4.71815299987793,1.991127610206604,6.403438091278076,0.5461049675941467,458.4651162790698,1184.4031007751937,458.4651162790698,1184.4031007751937,205212.09302325582,1127776.046511628,78.30956447172187,10.191185804414243,449,466,1178,1192,78.30765315511579,78.31179797829002,10.188992526498936,10.193904924481838,"Melur, Madurai, Tamil Nadu, 625105, India",Melur,,,,,,,,Melur,Madurai,Tamil Nadu,625105,India,in,0,0.0,0.0,0.0,0.0
