region_id,intervention,area_ha,hotspot_score_mean,mean_excess_heat_c,mean_night_cooling_c,cooling_deficit_c,cooling_leverage_factor,feasible_fraction,proxy_mean_cooling_c,proxy_max_cooling_c,proxy_hotspot_freq_reduction_pct,priority_score
14,cool_roof,13.41,1.4782823324203491,4.055263519287109,7.2189040184021,8.128953777486458e-05,1.0000812895377749,1.0,1.431214690208435,1.5412790775299072,35.29276663283361,28.374371577809217
14,urban_greening,13.41,1.4782823324203491,4.055263519287109,7.2189040184021,8.128953777486458e-05,1.0000812895377749,1.0,1.7048180103302002,1.839341163635254,42.03963570362246,33.79866069611518
14,cool_pavement,13.41,1.4782823324203491,4.055263519287109,7.2189040184021,8.128953777486458e-05,1.0000812895377749,1.0,1.0576114654541016,1.1432170867919922,26.079968919998155,20.967546595944768
15,cool_roof,6.84,1.8904454708099365,4.865744113922119,5.983043670654297,0.9664998054504395,1.9664998054504395,1.0,1.5235612392425537,1.699796199798584,31.311988538058575,38.74129017223464
15,urban_greening,6.84,1.8904454708099365,4.865744113922119,5.983043670654297,0.9664998054504395,1.9664998054504395,1.0,1.8176862001419067,2.0330841541290283,37.356798006312104,46.220333458190105
15,cool_pavement,6.84,1.8904454708099365,4.865744113922119,5.983043670654297,0.9664998054504395,1.9664998054504395,1.0,1.1294366121292114,1.2665081024169922,23.212001816898034,28.719443888843514
16,cool_roof,20.79,2.0381858348846436,4.6236419677734375,5.80800199508667,1.141541838645935,2.141541838645935,1.0,1.5566632747650146,1.731626272201538,33.667470050987575,141.26010064455576
16,urban_greening,20.79,2.0381858348846436,4.6236419677734375,5.80800199508667,1.141541838645935,2.141541838645935,1.0,1.8581438064575195,2.0719876289367676,40.18788261307196,168.61808546994206
16,cool_pavement,20.79,2.0381858348846436,4.6236419677734375,5.80800199508667,1.141541838645935,2.141541838645935,1.0,1.1551826000213623,1.2912648916244507,24.984257173737273,104.82755839826063
17,cool_roof,3.06,1.4918830394744873,4.03137731552124,5.93582010269165,1.0137221813201904,2.0137221813201904,1.0,1.4342619180679321,1.4966586828231812,35.577466602936624,13.185124179872378
17,urban_greening,3.06,1.4918830394744873,4.03137731552124,5.93582010269165,1.0137221813201904,2.0137221813201904,1.0,1.7085423469543457,1.7848050594329834,42.381107329653126,15.706575436033201
17,cool_pavement,3.06,1.4918830394744873,4.03137731552124,5.93582010269165,1.0137221813201904,2.0137221813201904,1.0,1.0599815845489502,1.108512282371521,26.293286427641146,9.74437698205262
18,cool_roof,2.4299999999999997,1.033722162246704,3.1239254474639893,2.7086141109466553,4.240929126739502,5.240929126739502,1.0,1.3316093683242798,1.368173360824585,42.62615708083827,17.53053739863952
18,urban_greening,2.4299999999999997,1.033722162246704,3.1239254474639893,2.7086141109466553,4.240929126739502,5.240929126739502,1.0,1.583078145980835,1.6277674436569214,50.675925933699276,20.841104984121433
18,cool_pavement,2.4299999999999997,1.033722162246704,3.1239254474639893,2.7086141109466553,4.240929126739502,5.240929126739502,1.0,0.9801406264305115,1.0085792541503906,31.37528865249304,12.903477788826814
19,cool_roof,4.32,1.923527717590332,4.450891971588135,5.9548821449279785,0.9946610331535339,1.994661033153534,1.0,1.5309735536575317,1.7138047218322754,34.39700544138933,25.37575588974226
19,urban_greening,4.32,1.923527717590332,4.450891971588135,5.9548821449279785,0.9946610331535339,1.994661033153534,1.0,1.8267453908920288,2.050205707550049,41.04223159206946,30.278148829706844
19,cool_pavement,4.32,1.923527717590332,4.450891971588135,5.9548821449279785,0.9946610331535339,1.994661033153534,1.0,1.1352016925811768,1.277403712272644,25.505038087368415,18.815871095710655
20,cool_roof,159.75,2.507168769836426,5.443105220794678,6.3080949783325195,0.6416048407554626,1.6416048407554626,1.0,1.6617405414581299,1.9526113271713257,30.52927463370845,1092.5876214002894
20,urban_greening,159.75,2.507168769836426,5.443105220794678,6.3080949783325195,0.6416048407554626,1.6416048407554626,1.0,1.9865719079971313,2.342080593109131,36.49703298785574,1306.1629186675946
20,cool_pavement,159.75,2.507168769836426,5.443105220794678,6.3080949783325195,0.6416048407554626,1.6416048407554626,1.0,1.23690927028656,1.4631421566009521,22.72433142686841,813.2627951199393
21,cool_roof,7.56,1.0101840496063232,3.0344080924987793,2.982379198074341,3.967163562774658,4.967163562774658,1.0,1.3263354301452637,1.3547472953796387,43.70985674023334,50.31345422369
21,urban_greening,7.56,1.0101840496063232,3.0344080924987793,2.982379198074341,3.967163562774658,4.967163562774658,1.0,1.5766321420669556,1.6113576889038086,51.95847407487725,59.80825612024564
21,cool_pavement,7.56,1.0101840496063232,3.0344080924987793,2.982379198074341,3.967163562774658,4.967163562774658,1.0,0.9760386943817139,0.9981367588043213,32.16570298486002,37.025232874120015
22,cool_roof,3.5999999999999996,1.1317164897918701,3.4158401489257812,3.284960985183716,3.6645820140838623,4.664582014083862,1.0,1.3535653352737427,1.3947018384933472,39.62613226205606,25.723620960193923
22,urban_greening,3.5999999999999996,1.1317164897918701,3.4158401489257812,3.284960985183716,3.6645820140838623,4.664582014083862,1.0,1.6099132299423218,1.6601910591125488,47.130812911389015,30.595344477747396
22,cool_pavement,3.5999999999999996,1.1317164897918701,3.4158401489257812,3.284960985183716,3.6645820140838623,4.664582014083862,1.0,0.9972174763679504,1.029212474822998,29.193915197745916,18.951463744291644
23,cool_roof,11.61,1.991127610206604,4.71815299987793,6.403438091278076,0.5461049675941467,1.5461049675941467,1.0,1.5461196899414062,1.7377030849456787,32.76959628018439,55.26032068292423
23,urban_greening,11.61,1.991127610206604,4.71815299987793,6.403438091278076,0.5461049675941467,1.5461049675941467,1.0,1.84525728225708,2.0794148445129395,39.10973811796314,65.95188575852872
23,cool_pavement,11.61,1.991127610206604,4.71815299987793,6.403438091278076,0.5461049675941467,1.5461049675941467,1.0,1.1469818353652954,1.29599130153656,24.309975437315632,40.99461668596773
24,cool_roof,2.4299999999999997,1.664845585823059,4.349640846252441,5.409505367279053,1.5400373935699463,2.5400373935699463,1.0,1.4730148315429688,1.5632582902908325,33.86520597009951,15.136569610079974
24,urban_greening,2.4299999999999997,1.664845585823059,4.349640846252441,5.409505367279053,1.5400373935699463,2.5400373935699463,1.0,1.7559069395065308,1.8662045001983643,40.36900980041566,18.043543791627993
24,cool_pavement,2.4299999999999997,1.664845585823059,4.349640846252441,5.409505367279053,1.5400373935699463,2.5400373935699463,1.0,1.0901226997375488,1.1603119373321533,25.06236119878209,11.202004063205104
25,cool_roof,21.24,2.22863507270813,4.785109996795654,6.5309529304504395,0.41858965158462524,1.4185896515846252,1.0,1.5993338823318481,1.8896706104278564,33.423137261271755,107.39631960736547
25,urban_greening,21.24,2.22863507270813,4.785109996795654,6.5309529304504395,0.41858965158462524,1.4185896515846252,1.0,1.910297155380249,2.265152931213379,39.921697863988044,128.27770743225562
25,cool_pavement,21.24,2.22863507270813,4.785109996795654,6.5309529304504395,0.41858965158462524,1.4185896515846252,1.0,1.1883710622787476,1.414188265800476,24.834770006844973,79.7998965860409
26,cool_roof,11.61,2.070006847381592,4.667042255401611,5.906159400939941,1.043383240699768,2.043383240699768,1.0,1.5637928247451782,1.7659308910369873,33.50714947856434,76.79501772795523
26,urban_greening,11.61,2.070006847381592,4.667042255401611,5.906159400939941,1.043383240699768,2.043383240699768,1.0,1.8668577671051025,2.11391544342041,40.00087560690951,91.67798512169847
26,cool_pavement,11.61,2.070006847381592,4.667042255401611,5.906159400939941,1.043383240699768,2.043383240699768,1.0,1.160727858543396,1.317946195602417,24.870738146841834,57.00123127799666
27,cool_roof,17.28,1.1194357872009277,3.250635862350464,2.900629758834839,4.048913478851318,5.048913478851318,1.0,1.350813865661621,1.439258098602295,41.55537325195437,131.9278130302406
27,urban_greening,17.28,1.1194357872009277,3.250635862350464,2.900629758834839,4.048913478851318,5.048913478851318,1.0,1.6065500974655151,1.714648723602295,49.422641153778876,156.9044013168565
27,cool_pavement,17.28,1.1194357872009277,3.250635862350464,2.900629758834839,4.048913478851318,5.048913478851318,1.0,0.99507737159729,1.0638673305511475,30.611776087333613,97.1846564266729
28,cool_roof,180.63,2.565683126449585,5.572341442108154,6.537154197692871,0.5460033416748047,1.5460033416748047,1.0,1.6748510599136353,2.1760621070861816,30.056504564802793,1199.9952326049554
28,urban_greening,180.63,2.565683126449585,5.572341442108154,6.537154197692871,0.5460033416748047,1.5460033416748047,1.0,2.0025956630706787,2.615187168121338,35.93813630905301,1434.817283779306
28,cool_pavement,180.63,2.565683126449585,5.572341442108154,6.537154197692871,0.5460033416748047,1.5460033416748047,1.0,1.2471063137054443,1.636937141418457,22.380292497540015,893.5252016231477
29,cool_roof,12.33,1.2325365543365479,3.364992618560791,1.2694967985153198,5.680046081542969,6.680046081542969,1.0,1.3761545419692993,1.4448926448822021,40.89621279935768,139.70422846737532
29,urban_greening,12.33,1.2325365543365479,3.364992618560791,1.2694967985153198,5.680046081542969,6.680046081542969,1.0,1.6375219821929932,1.7215354442596436,48.66346431670219,166.23768489930458
29,cool_pavement,12.33,1.2325365543365479,3.364992618560791,1.2694967985153198,5.680046081542969,6.680046081542969,1.0,1.014786720275879,1.0682498216629028,30.157175224648892,103.01894990093534
30,cool_roof,8.01,1.3320672512054443,3.8441803455352783,3.3819923400878906,3.5675504207611084,4.567550420761108,1.0,1.3984546661376953,1.5151748657226562,36.378487491147325,68.15385249102152
